module.code,element.title,module.leader,element.first.markers,element.second.markers,deadline,deadline.self.cert.ec,deadline.ec,return.internal,return.hard,return.ec
PSY555,Grant,Tim Hollins,Tim Hollins,,06/12/2018,13/12/2018,20/12/2018,03/01/2019,08/01/2019,22/01/2019
PSY555,Poster,Tim Hollins,Tim Hollins,,06/12/2018,13/12/2018,20/12/2018,03/01/2019,08/01/2019,22/01/2019
PSY555,Presentation,Tim Hollins,Tim Hollins,,06/12/2018,13/12/2018,20/12/2018,03/01/2019,08/01/2019,22/01/2019
PSY555,Writing task,Tim Hollins,Tim Hollins,,06/12/2018,13/12/2018,20/12/2018,03/01/2019,08/01/2019,22/01/2019
PSY556,Statistics assignment,Ben Whalley,Ben Whalley,,31/01/2019,07/02/2019,14/02/2019,21/02/2019,28/02/2019,14/03/2019
PSY558,Assignment,Ben Whalley,Ben Whalley,,14/03/2019,21/03/2019,28/03/2019,04/04/2019,11/04/2019,29/04/2019
PSY559,Coursework assignment,Chris Harris,Chris Harris,,06/12/2018,13/12/2018,20/12/2018,07/01/2019,14/01/2019,22/01/2019
PSY560,Coursework assignment,Helen Lloyd,Helen Lloyd,,02/05/2019,10/05/2019,17/05/2019,24/05/2019,03/06/2019,06/06/2019
PSY561,Session 1 coursework (Haline Schendan and Stephen Hall),Jeremy Goslin,Haline Schenden/Stephen Hall,,31/01/2019,07/02/2019,14/02/2019,21/02/2019,28/02/2019,14/03/2019
PSY561,Session 2 coursework (Jeremy Goslin and Chris Mitchell),Jeremy Goslin,Jeremy Goslin/Chris Mitchell,,31/01/2019,07/02/2019,14/02/2019,21/02/2019,28/02/2019,14/03/2019
PSY562,Session 1 coursework (Michaela Gummerum and Giorgio Ganis),Jeremy Goslin,Michaela Gummerum/Sue Denham,,02/05/2019,10/05/2019,17/05/2019,24/05/2019,03/06/2019,06/06/2019
PSY562,Session 2 coursework (Sylvia Terbeck and Sabine Pahl),Jeremy Goslin,Giorgio Ganis/Chris Mitchell,,02/05/2019,10/05/2019,17/05/2019,24/05/2019,03/06/2019,06/06/2019
PSY564,Coursework,Alyson Norman,Alyson Norman,,02/05/2019,10/05/2019,17/05/2019,24/05/2019,03/06/2019,06/06/2019
PSY566,Coursework,Jackie Andrade,Jackie Andrade,,10/01/2019,17/01/2019,24/01/2019,31/01/2019,07/02/2019,21/02/2019
PSY567,Individual Behaviour Change,Jon May,Jon May,,23/05/2019,31/05/2018,07/06/2019,10/06/2019,10/06/2019,10/06/2019
PSY567,Population Behaviour Change,Jon May,Jon May,,23/05/2019,31/05/2018,07/06/2019,10/06/2019,10/06/2019,10/06/2019
PSY568,Coursework,Chris Harris,Chris Harris,,10/01/2019,17/01/2019,24/01/2019,31/01/2019,07/02/2019,21/02/2019
PSY569,Coursework,Chris Harris,Chris Harris,,02/05/2019,10/05/2019,17/05/2019,24/05/2019,03/06/2019,06/06/2019
PSY570,Coursework,Haline Schenden,Haline Schenden,,10/01/2019,17/01/2019,24/01/2019,31/01/2019,07/02/2019,21/02/2019
PSY571,Poster,Ben Whalley,Supervisors,Supervisors (round robin),24/05/2019,03/06/2019,10/06/2019,10/06/2019,10/06/2019,10/06/2019
PSY571,Protocol,Ben Whalley,Supervisors,Supervisors (round robin),21/02/2019,28/02/2019,07/03/2019,14/03/2019,21/03/2019,04/04/2019
PSY572,Ethics,Alison Bacon,Alison Bacon,NA,22/08/2019,29/08/2019,06/09/2019,,,
PSY572,Project,Alison Bacon,Supervisors,,22/08/2019,29/08/2019,06/09/2019,,,
PSY577,Coursework,Jacqui Stedmon,Jacqui Stedmon,,23/05/2019,31/05/2018,07/06/2019,10/06/2019,10/06/2019,10/06/2019
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
